% 	X	Y	Z	Value	
1	60	404	0	167.667	
2	74	432	0	164.333	
3	74	485	0	140.667	
4	26	541	0	105.333	
5	72	612	0	170.667	
6	106	577	0	204.667	
7	164	604	0	162.667	
8	228	624	0	133.667	
9	345	641	0	202.667	
10	390	558	0	144.333	
11	416	478	0	164.333	
12	434	412	0	168	
13	426	353	0	114.333	
14	440	309	0	179	
15	452	264	0	169.333	
16	458	224	0	165.667	
17	458	176	0	179	
18	454	142	0	141.667	
19	446	82	0	193.667	
20	438	48	0	158.667	
21	424	25	0	150.667	
22	389	25	0	169	
23	354	41	0	181	
24	328	56	0	132.333	
25	298	93	0	146.333	
26	261	142	0	118	
27	229	178	0	137.333	
28	202	213	0	146	
29	174	245	0	143.333	
30	157	273	0	132.333	
31	134	306	0	120.667	
32	129	333	0	165.667	
33	101	370	0	145.333	
34	60	404	0	85	
